Year/Month,Fraud
2021/01,0.015438260801716347
2021/02,0.021697601222696497
2021/03,-0.03148304244899803
2021/04,-0.0437381571358572
2021/05,-0.09049355451726228
2021/06,-0.09632136632171295
2021/07,-0.10782525736576358
2021/08,-0.10509220834000224
2021/09,-0.08135143727781176
2021/10,-0.12192004205973031
2021/11,-0.10242747030942313
2021/12,-0.0898200597324095
2022/01,-0.1250810142680007
2022/02,-0.11879082517496337
2022/03,-0.10924211545229393
2022/04,-0.1470573386071233
2022/05,-0.1156694867358187
2022/06,-0.0656397955960975
2022/07,-0.006479915011911568
2022/08,-0.01938605758312561
2022/09,-0.002802128398629283
2022/10,0.01589335052737007
2022/11,0.0002723686799158505
2022/12,-0.006380429526406818
2023/01,-0.024399930408570407
2023/02,-0.04759317656113554
2023/03,-0.04911683619266053
2023/04,-0.014651122225325374
2023/05,-0.027584432018559965
2023/06,-0.0424554657454707
