Year/Month,BG
2021/01,-0.0113657889751846
2021/02,0.0156662891657231
2021/03,-0.0017526058481689
2021/04,-0.0552979853325465
2021/05,-0.0537022603273579
2021/06,-0.0925137415808623
2021/07,-0.0735557110644584
2021/08,-0.0102544031311154
2021/09,0.0031862354628007
2021/10,0.0356110055358176
2021/11,0.0918809082074387
2021/12,0.0964887508236844
2022/01,0.132113431691895
2022/02,0.1305519420182121
2022/03,0.1450748475328036
2022/04,0.1193896671723031
2022/05,0.0646569475331519
2022/06,0.1068077119945403
2022/07,0.1145614771296685
2022/08,0.073078139829168
2022/09,0.1179132920438303
2022/10,0.1215094941758416
2022/11,0.0904603932356986
2022/12,0.0963255494505495
2023/01,0.0877549293390875
2023/02,0.0720802169803567
2023/03,0.0587475790832794
2023/04,0.0594659226783578
2023/05,0.1179792665944607
2023/06,0.1217049483582548
