Year/Month,DK
2021/01,-0.0028653295128939
2021/02,-0.0047483380816714
2021/03,-0.0418994413407821
2021/04,-0.0113100848256361
2021/05,-0.014058106841612
2021/06,-0.0103773584905659
2021/07,0.002824858757062
2021/08,0.0153110047846889
2021/09,0.0096246390760346
2021/10,0.0124045801526717
2021/11,0.0151802656546489
2021/12,0.0200956937799041
2022/01,0.0220306513409962
2022/02,0.0400763358778626
2022/03,0.0602526724975702
2022/04,0.0867492850333651
2022/05,0.1197718631178705
2022/06,0.1744518589132506
2022/07,0.180281690140845
2022/08,0.1809613572101791
2022/09,0.1868446139180171
2022/10,0.1800188501413762
2022/11,0.1616822429906541
2022/12,0.1482176360225142
2023/01,0.155576382380506
2023/02,0.1440366972477065
2023/03,0.1356553620531624
2023/04,0.087719298245614
2023/05,0.0560271646859082
2023/06,0.0413961038961039
