Year/Month,AT
2021/01,-0.0001947040498442
2021/02,0.0484041023674877
2021/03,0.0456026058631922
2021/04,0.052796803652968
2021/05,0.0447633529747197
2021/06,0.0209796759389342
2021/07,0.0277699331638896
2021/08,0.052400076496462
2021/09,0.0689820130118639
2021/10,0.0475077153277845
2021/11,0.0329557157569515
2021/12,0.0576687116564416
2022/01,0.0862706913339825
2022/02,0.0684768696288171
2022/03,0.0898845519516218
2022/04,0.1011114123068581
2022/05,0.1243518602747202
2022/06,0.1198055224291347
2022/07,0.1252976735665871
2022/08,0.1202071597310558
2022/09,0.1101763179092454
2022/10,0.1481117757343093
2022/11,0.1538112933925495
2022/12,0.1494734963412458
2023/01,0.1519361778415202
2023/02,0.1641995379481475
2023/03,0.1816729718369063
2023/04,0.1381913671426227
2023/05,0.1283171521035599
2023/06,0.1389366756778898
