Year/Month,DK
2021/01,0.0019083969465649
2021/02,-0.0102516309412861
2021/03,0.002803738317757
2021/04,0.0055350553505535
2021/05,0.0018450184501843
2021/06,-0.0046082949308755
2021/07,0.0073664825046042
2021/08,-0.0092336103416436
2021/09,0.0131950989632423
2021/10,0.0208136234626301
2021/11,0.0199619771863117
2021/12,0.0228571428571429
2022/01,0.0276190476190476
2022/02,0.051789077212806
2022/03,0.037278657968313
2022/04,0.0403669724770643
2022/05,0.0764272559852672
2022/06,0.0898148148148147
2022/07,0.1078610603290675
2022/08,0.1267474370922647
2022/09,0.106046511627907
2022/10,0.1102873030583873
2022/11,0.1220876048462256
2022/12,0.1163873370577281
2023/01,0.1278962001853567
2023/02,0.1128021486123544
2023/03,0.150943396226415
2023/04,0.1102292768959436
2023/05,0.1043627031650982
2023/06,0.1062022090059471
