Year/Month,Fraud
2021/01,0.04603313556047534
2021/02,0.06360579997738894
2021/03,0.02581153319444372
2021/04,0.05307015410312804
2021/05,0.09385017604553489
2021/06,0.008477344809456326
2021/07,-0.010371187884175539
2021/08,-0.04502117569643024
2021/09,-0.07928305166232223
2021/10,-0.11957826902784001
2021/11,-0.15485879772073885
2021/12,-0.15335106236746118
2022/01,-0.13597704518659234
2022/02,-0.1662346821042847
2022/03,-0.22008694784331811
2022/04,-0.29432926134716814
2022/05,-0.2818475576887283
2022/06,-0.255243957597159
2022/07,-0.2730084690933558
2022/08,-0.24333711654736306
2022/09,-0.23324817078496074
2022/10,-0.2466774811700715
2022/11,-0.2684746516657901
2022/12,-0.28963052062727024
2023/01,-0.34607074870967336
2023/02,-0.33213825210890174
2023/03,-0.24360545987321594
2023/04,-0.18439009451291524
2023/05,-0.22605370558464483
2023/06,-0.23516918454868327
