Year/Month,Fraud
2021/01,-0.10642912240877338
2021/02,-0.12072106495428304
2021/03,-0.1541404392492286
2021/04,-0.13613350234375582
2021/05,-0.1966595449556201
2021/06,-0.21223350914451036
2021/07,-0.1320881511344763
2021/08,-0.17426943363136627
2021/09,-0.21494038916042352
2021/10,-0.24625114149482538
2021/11,-0.2947695140198262
2021/12,-0.30667574779457346
2022/01,-0.2619667934638702
2022/02,-0.2389366807805237
2022/03,-0.4067236703348597
2022/04,-0.39582010682588836
2022/05,-0.3439605124432816
2022/06,-0.29398261008089605
2022/07,-0.2663408774382599
2022/08,-0.2113830276863376
2022/09,-0.15220670899906796
2022/10,-0.09979395422176536
2022/11,0.025053618925257218
2022/12,0.12472074956226523
2023/01,0.19713065037209399
2023/02,0.2518434885877534
2023/03,0.7709494771620727
2023/04,0.8975521657518246
2023/05,0.955849655417255
2023/06,0.8390786026865168
