Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,1.637876375,948.59,579.1584850230225,0.0017266430965960004
2021/02,1.8176106666666667,948.59,521.8884425560883,0.0019161183089286906
2021/03,1.8276841666666663,948.59,519.0119919515636,0.0019267377546323134
2021/04,1.9050071666666664,948.59,497.9456332753955,0.0020082513695765993
2021/05,1.807985125,948.59,524.6669272237514,0.001905971099210407
2021/06,1.81057125,948.59,523.9175205063043,0.0019086973824307657
2021/07,1.758811,948.59,539.3359491156242,0.0018541319221159825
2021/08,1.780569375,948.59,532.745319176345,0.0018770695189702612
2021/09,1.83656625,948.59,516.5019230860853,0.0019361012133798585
2021/10,1.948216,948.59,486.9018630377741,0.002053801958696592
2021/11,2.057509625,948.59,461.0379404664997,0.002169018885925426
2021/12,2.186862375,948.59,433.76757991000693,0.002305382067067964
2022/01,2.27617375,926.09,406.8626131902277,0.002457832122147955
2022/02,2.4393085,926.09,379.65267615801775,0.0026339864376032566
2022/03,2.858555375,926.09,323.9713346466133,0.003086692843028215
2022/04,2.964984375,926.09,312.34228679535624,0.0032016157986804734
2022/05,3.094202375,926.09,299.29845813656584,0.003341146513837748
2022/06,3.173368,926.09,291.8318959540778,0.003426630241121273
2022/07,2.753669875,926.09,336.3111927133241,0.0029734365720394344
2022/08,2.880808,926.09,321.4688379093643,0.0031107214201643468
2022/09,2.88979125,926.09,320.46951488277915,0.003120421611290479
2022/10,3.093859833333333,926.09,299.33159544665864,0.0033407766343803874
2022/11,2.98559025,926.09,310.18657031051066,0.0032238662009091987
2022/12,2.9412665,926.09,314.86096210594997,0.0031760050319083453
2023/01,2.8757245,1073.52,373.30418821413525,0.0026787805536925254
2023/02,2.8490261666666665,1073.52,376.80243606046207,0.002653910655289763
2023/03,2.724565666666667,1073.52,394.0150950053568,0.00253797383063815
2023/04,2.389509,1073.52,449.2638445806231,0.0022258635144198524
2023/05,2.1650538333333333,1073.52,495.83986479781913,0.0020167801562461186
2023/06,1.916389,1073.52,560.1785441264796,0.0017851451300394962
