Year/Month,DK
2021/01,0.0017286084701815
2021/02,-0.0311958405545927
2021/03,-0.0840890354492992
2021/04,0.0103716508210891
2021/05,-0.0237489397794742
2021/06,-0.0211210398050365
2021/07,-0.0199840127897681
2021/08,0.0330788804071247
2021/09,0.0281329923273656
2021/10,0.0207075064710957
2021/11,0.0651607298001737
2021/12,0.0116279069767442
2022/01,0.1423641069887833
2022/02,0.1824686940966009
2022/03,0.1908190819081909
2022/04,0.0222412318220701
2022/05,0.2745438748913986
2022/06,0.3402489626556015
2022/07,0.4934747145187601
2022/08,0.4688013136289
2022/09,0.3698175787728026
2022/10,0.3778529163144548
2022/11,0.3482871125611746
2022/12,0.3381226053639845
2023/01,0.1774924471299093
2023/02,0.2428139183055977
2023/03,0.3159486016628872
2023/04,0.3079497907949791
2023/05,0.1049761417859578
2023/06,0.048297213622291
