Year/Month,RO
2021/01,0.0708096524736794
2021/02,0.0795612975183568
2021/03,0.0780154924382148
2021/04,0.0784995425434582
2021/05,0.0875512995896032
2021/06,0.1086285195277021
2021/07,0.1236179082834874
2021/08,0.145406776589962
2021/09,0.164884942924443
2021/10,0.1824672390420243
2021/11,0.1971248876909255
2021/12,0.1938115081124212
2022/01,0.1875924475767858
2022/02,0.1973310374515711
2022/03,0.25491873396065
2022/04,0.3014930437733287
2022/05,0.349014675052411
2022/06,0.3944781255120433
2022/07,0.4228907888369091
2022/08,0.4313849561021907
2022/09,0.4264271270804167
2022/10,0.4173035768878017
2022/11,0.409411588111678
2022/12,0.392053471964352
2023/01,0.3770239577991059
2023/02,0.3390378945854606
2023/03,0.2442399454669395
2023/04,0.1735758049797942
2023/05,0.1086591657860382
2023/06,0.0323130250866576
