Year/Month,FR
2021/01,0.0404214890309206
2021/02,0.0069343378135433
2021/03,0.0288614298323035
2021/04,-0.0451883507439062
2021/05,-0.0382067851373182
2021/06,-0.0346883924071895
2021/07,0.0260953892268358
2021/08,0.0616674018526688
2021/09,0.0313964800566022
2021/10,-0.0191115702479338
2021/11,-0.0420630946419628
2021/12,0.0284100781928757
2022/01,0.0116221152249709
2022/02,0.0410644448223092
2022/03,0.0545594921506391
2022/04,0.0694571073352672
2022/05,0.0276308054085832
2022/06,0.0642129992169147
2022/07,0.0511212303462496
2022/08,0.0302476317101545
2022/09,0.1287086263076657
2022/10,0.2208179743724767
2022/11,0.1644014636696289
2022/12,0.1280729914674325
2023/01,0.1327753159363203
2023/02,0.1990200081665984
2023/03,0.2363133490604407
2023/04,0.1412074711307447
2023/05,0.1712160836874796
2023/06,0.1689150519172593
