Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,2.2412366333333336,981.86,438.0885023013857,0.0022826437917150447
2021/02,2.3015833333333333,981.86,426.60197689996016,0.0023441054053870546
2021/03,2.5160452,981.86,390.2394122331347,0.002562529484855275
2021/04,2.567138833333334,981.86,382.47249710491565,0.0026145670801675735
2021/05,3.0573670833333337,981.86,321.14560444914406,0.003113852365238765
2021/06,2.9467223333333337,981.86,333.2041125467426,0.0030011634381004763
2021/07,2.9833763333333336,981.86,329.1103401973312,0.0030384946258461836
2021/08,2.9833763333333336,981.86,329.1103401973312,0.0030384946258461836
2021/09,3.006333333333333,981.86,326.59718372325096,0.0030618757596127077
2021/10,3.411679999999999,981.86,287.79369694695873,0.0034747112622980866
2021/11,3.570427777777778,981.86,274.9978605115789,0.0036363919273397207
2021/12,3.032208333333333,981.86,323.810204334025,0.003088228803834898
2022/01,3.5411802708333333,976.04,275.62561783117354,0.0036281097811906617
2022/02,3.0045198888888893,976.04,324.85722714285384,0.0030782753666744084
2022/03,2.981305555555556,976.04,327.3867712691121,0.003054491163841191
2022/04,3.857765,976.04,253.00659838015014,0.003952466087455433
2022/05,3.088888888888889,976.04,315.9841726618705,0.003164715471588141
2022/06,3.021146555555556,976.04,323.06939833990174,0.0030953101876516906
2022/07,3.0175555555555555,976.04,323.453862581928,0.00309163103515794
2022/08,3.1177778888888894,976.04,313.05629675494305,0.0031943136437941983
2022/09,4.19388,976.04,232.72959645960302,0.004296832097045203
2022/10,3.1940000000000004,976.04,305.58547276142764,0.0032724068685709607
2022/11,3.2353913333333337,976.04,301.6760260015944,0.003314814283567614
2022/12,3.9,976.04,250.26666666666665,0.003995737879595098
2023/01,5.1275,1076.99,210.04193076548023,0.004760954140706971
2023/02,5.459404666666667,1076.99,197.27242543051398,0.005069132180119283
2023/03,5.516666666666667,1076.99,195.22477341389728,0.005122300733216341
2023/04,5.150766666666668,1076.99,209.09314470984899,0.004782557560113527
2023/05,5.535294,1076.99,194.56780434788107,0.005139596467933778
2023/06,5.815,1076.99,185.2089423903697,0.005399307328758856
