Year/Month,Fraud
2021/01,0.06329783167178042
2021/02,-0.0042447791826642
2021/03,-0.1410227099842739
2021/04,-0.2367210337960765
2021/05,-0.3003860162466067
2021/06,-0.2455568189299683
2021/07,-0.1693919978859945
2021/08,-0.12150427870104481
2021/09,-0.15107000077815566
2021/10,-0.18750103777507068
2021/11,-0.2213837801942745
2021/12,-0.28294853730982494
2022/01,-0.27993866847315413
2022/02,-0.23548837219669969
2022/03,-0.19708943064344683
2022/04,-0.23174899644207428
2022/05,-0.23782020387226796
2022/06,-0.22076950685359473
2022/07,-0.22443651073557722
2022/08,-0.1981626991221167
2022/09,-0.1373874807534826
2022/10,-0.05764483758358198
2022/11,0.05344667212050955
2022/12,0.17260140575250096
2023/01,0.3418457554003941
2023/02,0.45766037691327555
2023/03,0.47239674198126436
2023/04,0.57294996361436
2023/05,0.6248727991158686
2023/06,0.5335240038437041
