Year/Month,NL
2021/01,-0.0139906180561271
2021/02,-0.0136785539814361
2021/03,-0.0246333360343569
2021/04,-0.021978021978022
2021/05,-0.011409013120365
2021/06,-0.0123658995987224
2021/07,-0.0322580645161291
2021/08,0.0013977964150633
2021/09,0.0038708614725744
2021/10,-0.0037107281273192
2021/11,0.0093566283017305
2021/12,0.0321268470861697
2022/01,0.0968199649444954
2022/02,0.1073964008585108
2022/03,0.132508100024923
2022/04,0.1362359550561798
2022/05,0.1861346962327918
2022/06,0.2489220563847429
2022/07,0.3138474295190712
2022/08,0.3354134165366613
2022/09,0.3188120436459103
2022/10,0.3508525078629367
2022/11,0.3514356029532404
2022/12,0.3571141317461592
2023/01,0.3153489079978693
2023/02,0.2782705926202011
2023/03,0.250880281690141
2023/04,0.2155893259652439
2023/05,0.1551184932934881
2023/06,0.1024432346301953
