Year/Month,BE
2021/01,0.0160163888630227
2021/02,0.0084142394822006
2021/03,-0.0017443995593096
2021/04,-0.0068549492733753
2021/05,-0.0056543547651619
2021/06,-0.0007333394444953
2021/07,-0.0002732489297749
2021/08,-0.0038119440914866
2021/09,-0.0054689636313918
2021/10,0.0010071415491668
2021/11,0.0081997420305877
2021/12,0.0146354933726067
2022/01,0.0253872239024837
2022/02,0.0430955437373923
2022/03,0.0589533707348477
2022/04,0.0612921038100495
2022/05,0.0856644960102723
2022/06,0.1143931749380791
2022/07,0.1383928571428572
2022/08,0.1288265306122449
2022/09,0.1527815965539363
2022/10,0.1669258209091739
2022/11,0.2132870328063603
2022/12,0.2264356345822371
2023/01,0.2911154808723633
2023/02,0.3037974683544302
2023/03,0.3104047246829946
2023/04,0.2620534165799515
2023/05,0.2376446734814563
2023/06,0.205548238393151
