Year/Month,DK
2021/01,-0.0018744142455482
2021/02,0.0
2021/03,0.0093984962406015
2021/04,0.0205799812909259
2021/05,-0.0018535681186283
2021/06,-0.0109789569990851
2021/07,0.0063694267515923
2021/08,-0.0210045662100456
2021/09,-0.0163785259326662
2021/10,0.0083876980428705
2021/11,-0.0100364963503649
2021/12,0.0224508886810101
2022/01,0.0338028169014084
2022/02,0.0467289719626167
2022/03,0.0428305400372439
2022/04,0.0714940421631531
2022/05,0.0603528319405757
2022/06,0.0786308973172988
2022/07,0.0660036166365281
2022/08,0.0867537313432835
2022/09,0.0638297872340425
2022/10,0.0757855822550832
2022/11,0.064516129032258
2022/12,0.0658737419945105
2023/01,0.0526793823796549
2023/02,0.063392857142857
2023/03,0.0517857142857143
2023/04,0.0333618477331052
2023/05,0.0420315236427319
2023/06,0.0274442538593482
