Year/Month,DK
2021/01,-0.003813155386082
2021/02,0.0018814675446849
2021/03,0.002827521206409
2021/04,0.0047258979206048
2021/05,0.000931966449208
2021/06,0.0074487895716945
2021/07,0.0184501845018449
2021/08,0.0223255813953489
2021/09,0.0411599625818521
2021/10,0.0345149253731342
2021/11,0.0570093457943925
2021/12,0.0443396226415093
2022/01,0.0995215311004784
2022/02,0.1051643192488263
2022/03,0.1024436090225562
2022/04,0.1411100658513639
2022/05,0.1601489757914338
2022/06,0.1968576709796672
2022/07,0.2445652173913044
2022/08,0.2547770700636942
2022/09,0.2461814914645101
2022/10,0.253381424706943
2022/11,0.2369584438549956
2022/12,0.2429990966576332
2023/01,0.2193211488250652
2023/02,0.2310960067969414
2023/03,0.237851662404092
2023/04,0.1846661170651278
2023/05,0.1508828250401284
2023/06,0.1057915057915057
