Year/Month,Fraud
2021/01,0.04021220509150718
2021/02,0.06356910436828463
2021/03,0.0035294407041529994
2021/04,-0.05953746161470054
2021/05,-0.13348436107773262
2021/06,-0.05617268006082532
2021/07,-0.06719149442489235
2021/08,-0.014981368450942568
2021/09,-0.04806707518917399
2021/10,-0.05783395106639323
2021/11,-0.11302644497610051
2021/12,-0.06260628966119311
2022/01,-0.09896386893513166
2022/02,-0.13421068956136448
2022/03,-0.11615824057206593
2022/04,-0.08699774053247762
2022/05,-0.06413786326585762
2022/06,-0.06957613083457423
2022/07,-0.08857041780362519
2022/08,-0.04571748133683507
2022/09,-0.03714891251428691
2022/10,-0.01700422002598018
2022/11,-0.0068624150068210535
2022/12,-0.029730253431060207
2023/01,0.01420381494163361
2023/02,0.07851795675667796
2023/03,0.10499221487933648
2023/04,0.07466333473923994
2023/05,0.07300002107350026
2023/06,0.055979135275808646
