Year/Month,Fraud
2021/01,0.030360834785585846
2021/02,0.025912530735635892
2021/03,0.03622848037990495
2021/04,0.10880994828353406
2021/05,0.09326926888027712
2021/06,0.037937659315315446
2021/07,0.03183293669912739
2021/08,0.033077989696006525
2021/09,0.01566422763065062
2021/10,0.009999989945431557
2021/11,-0.008875390554136641
2021/12,-0.07640761875010874
2022/01,-0.1129177275741056
2022/02,-0.1171374756862988
2022/03,-0.15886288105869512
2022/04,-0.1894702384105948
2022/05,-0.19618029396838588
2022/06,-0.1887292373699204
2022/07,-0.2050119402552058
2022/08,-0.19433118606000907
2022/09,-0.18255501854905135
2022/10,-0.20137719382129526
2022/11,-0.1850396437730243
2022/12,-0.1299151411478669
2023/01,-0.12278414704568226
2023/02,-0.11295362385243339
2023/03,-0.06466838310474998
2023/04,-0.04362400776229759
2023/05,-0.0008528453155887526
2023/06,-0.00031373884975792617
