Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,3.59013698630137,2940.24,818.9771062271061,0.0012210353529988607
2021/02,3.502301458670989,2940.24,839.5165392518,0.0011911617618531104
2021/03,3.51880162601626,2940.24,835.5799253533746,0.0011967736055615392
2021/04,2.836994322789943,2940.24,1036.3926273594102,0.0009648852892246698
2021/05,3.0713980424143563,2940.24,957.2969570849709,0.0010446079375882092
2021/06,3.5063980343980345,2940.24,838.5357198914725,0.0011925550412204564
2021/07,3.732565756823821,2940.24,787.7262428999936,0.0012694765586563754
2021/08,3.7326600660066007,2940.24,787.7063402523086,0.001269508633991307
2021/09,3.746334164588529,2940.24,784.8312165508426,0.0012741593082838576
2021/10,3.735352941176471,2940.24,787.1384702603107,0.001270424503161807
2021/11,3.83936,2940.24,765.8151358559759,0.0013057981661360979
2021/12,3.8527999999999993,2940.24,763.1436877076412,0.0013103692215601446
2022/01,3.9979248366013063,2734.37,683.9473256141872,0.0014621008995129798
2022/02,4.415856672158155,2734.37,619.2162026544298,0.001614944821716942
2022/03,4.784299275945296,2734.37,571.5298818675458,0.0017496897917784703
2022/04,5.134372720063441,2734.37,532.5616485369246,0.0018777168854483633
2022/05,5.570526315789474,2734.37,490.86385109599394,0.0020372247778426013
2022/06,5.7016086956521725,2734.37,479.5786848867979,0.0020851635644233125
2022/07,5.607225308641976,2734.37,487.6511731721802,0.0020506461483420224
2022/08,5.747534456355283,2734.37,475.7466041767693,0.0021019593019069413
2022/09,6.29758878504673,2734.37,434.1931639761249,0.0023031223956694706
2022/10,7.213733021077284,2734.37,379.0506235829136,0.0026381700432192004
2022/11,7.425782738095237,2734.37,368.2265016955484,0.002715719795819599
2022/12,8.005319767441861,2734.37,341.5691164668843,0.0029276651541093055
2023/01,7.828234965034965,2926.48,373.83650504503333,0.0026749661590152554
2023/02,7.358137119113573,2926.48,397.7202317143758,0.0025143302257707462
2023/03,7.680871830020562,2926.48,381.0088313883719,0.002624611078845768
2023/04,7.418415990006246,2926.48,394.48852746225356,0.0025349279646559165
2023/05,6.736802721088437,2926.48,434.40191455200886,0.002302015636904553
2023/06,6.439602598808879,2926.48,454.4504035918778,0.0022004601428367455
