Year/Month,PT
2021/01,0.0159579290960194
2021/02,0.0217430207587687
2021/03,0.0108369001001729
2021/04,-0.0372560615020698
2021/05,-0.0062976760688309
2021/06,0.001004657959631
2021/07,0.025255391600454
2021/08,-0.0026822049574547
2021/09,-0.0183561643835616
2021/10,-0.0104854017897495
2021/11,-0.0097417106086334
2021/12,0.0395095367847411
2022/01,0.0335564480142793
2022/02,0.0232069358087398
2022/03,0.0666666666666666
2022/04,0.0848543348543349
2022/05,0.0751584397036508
2022/06,0.10492700729927
2022/07,0.1465079804410001
2022/08,0.1983678011685059
2022/09,0.23862684900921
2022/10,0.2619895861879968
2022/11,0.248736462093863
2022/12,0.2346002621231979
2023/01,0.2609446507210085
2023/02,0.3316501198219788
2023/03,0.3548141891891891
2023/04,0.2395049745207476
2023/05,0.2288916562889167
2023/06,0.1973575557390587
