Year/Month,BE
2021/01,0.0086362342222643
2021/02,0.0009457159069417
2021/03,-0.0007508212106991
2021/04,-0.0012183692596064
2021/05,-0.0056227157717176
2021/06,0.0009399379640944
2021/07,0.0009339684318669
2021/08,0.0060987051979735
2021/09,0.0019729425028185
2021/10,0.011379667074203
2021/11,0.0171423189224826
2021/12,0.0217655301261092
2022/01,0.0390477982687242
2022/02,0.0508314436885866
2022/03,0.0534422842115149
2022/04,0.0843576991648682
2022/05,0.0974460465554614
2022/06,0.1064888721945722
2022/07,0.1167304282914996
2022/08,0.1282290403804904
2022/09,0.1419596812001875
2022/10,0.1491538032360051
2022/11,0.1708491526993241
2022/12,0.1706893399158897
2023/01,0.2036584261523135
2023/02,0.2174069411976265
2023/03,0.2195970042796005
2023/04,0.1670993423329871
2023/05,0.16041219407471
2023/06,0.1453789357549011
