Year/Month,FR
2021/01,0.0057599405425492
2021/02,0.0089161326274727
2021/03,0.0059303187546331
2021/04,0.004526140772215
2021/05,0.0005517241379311
2021/06,0.0057963014076731
2021/07,0.0116580310880829
2021/08,0.0110670478649819
2021/09,0.010630430763542
2021/10,0.0137975738494304
2021/11,0.0134810710987998
2021/12,0.0167943157700469
2022/01,0.0195824866063181
2022/02,0.022185399981589
2022/03,0.0295689019896829
2022/04,0.042022988505747
2022/05,0.0612076095947062
2022/06,0.0714416392242955
2022/07,0.0876166087433691
2022/08,0.1023442488369972
2022/09,0.1104911735113876
2022/10,0.1239495798319327
2022/11,0.1369351311953353
2022/12,0.1398493511207914
2023/01,0.1503895633266896
2023/02,0.153728386167147
2023/03,0.1549610807909098
2023/04,0.149488175079421
2023/05,0.133454576946393
2023/06,0.1194399385298388
