Year/Month,BG
2021/01,0.1188118811881187
2021/02,0.1071624337657592
2021/03,0.1396154196664538
2021/04,0.2014581026208932
2021/05,0.2393811790552911
2021/06,0.2616796946009816
2021/07,0.2463372463372464
2021/08,0.2593721144967682
2021/09,0.2516550285662466
2021/10,0.2344117903549316
2021/11,0.2497849647342165
2021/12,0.2440446021287381
2022/01,0.2826849223576555
2022/02,0.2897103721429162
2022/03,0.43046781287485
2022/04,0.4362086181734388
2022/05,0.410887066991654
2022/06,0.4140912038037605
2022/07,0.4419538551401869
2022/08,0.4451939291736932
2022/09,0.4216055644109548
2022/10,0.3683504062168843
2022/11,0.3160357880247761
2022/12,0.2948326203571669
2023/01,0.211989065347566
2023/02,0.1735124760076773
2023/03,-0.0084414132379248
2023/04,-0.0987271365921488
2023/05,-0.1248036854779603
2023/06,-0.1855418003973712
