Year/Month,PL
2021/01,-0.0186440677966102
2021/02,-0.0195246179966044
2021/03,-0.021079258010118
2021/04,0.004288164665523
2021/05,0.0051020408163267
2021/06,0.0135938827527613
2021/07,0.0308219178082191
2021/08,0.0454545454545456
2021/09,0.0581196581196581
2021/10,0.1060735671514114
2021/11,0.1598639455782313
2021/12,0.2134831460674158
2022/01,0.2487046632124352
2022/02,0.2380952380952381
2022/03,0.2523686477174851
2022/04,0.2894961571306575
2022/05,0.323181049069374
2022/06,0.3570829840737637
2022/07,0.377906976744186
2022/08,0.3995077932731745
2022/09,0.4014539579967691
2022/10,0.3789636504253673
2022/11,0.3247800586510263
2022/12,0.2834757834757833
2023/01,0.2427385892116182
2023/02,0.2132867132867133
2023/03,0.1891334250343879
2023/04,0.1198675496688741
2023/05,0.0703324808184142
2023/06,0.015441630636195
