Year/Month,AT
2021/01,-0.0236471123237835
2021/02,-0.0002694691457828
2021/03,0.0157068062827223
2021/04,-0.0099661861541198
2021/05,0.0351841671247938
2021/06,0.0083913586859489
2021/07,0.0025830586977821
2021/08,0.012435140454464
2021/09,0.0088448137228624
2021/10,0.0080192461908579
2021/11,0.029034008683068
2021/12,0.0119387027797577
2022/01,0.0500232883092688
2022/02,0.0292902066486973
2022/03,0.0404372555990046
2022/04,0.1074060758583497
2022/05,0.1134714108691803
2022/06,0.1323477337110481
2022/07,0.1396588486140724
2022/08,0.1423522134841388
2022/09,0.1531172511512575
2022/10,0.1554848404490409
2022/11,0.1594444932759076
2022/12,0.181369959499912
2023/01,0.190471965933286
2023/02,0.1861906424581003
2023/03,0.1476039976082686
2023/04,0.1057544030517005
2023/05,0.0865659777424483
2023/06,0.0821671487764834
