Year/Month,PT
2021/01,0.0930188138668703
2021/02,0.0794070437163629
2021/03,0.1064722142789058
2021/04,0.085124354763022
2021/05,0.0410766118392118
2021/06,0.0168405487554423
2021/07,-0.0012131996117761
2021/08,-0.0229301449512734
2021/09,-0.024556284950158
2021/10,-0.0624751293274971
2021/11,-0.0263723544973545
2021/12,-0.0100890207715133
2022/01,0.0057667103538663
2022/02,0.002186843946816
2022/03,-0.0178325292901446
2022/04,0.0043245113302197
2022/05,0.0384420412301453
2022/06,0.027387300048473
2022/07,0.0430804113693417
2022/08,0.0918615371720728
2022/09,0.084164174144234
2022/10,0.1660441426146011
2022/11,0.1765305256007472
2022/12,0.1654676258992806
2023/01,0.1796542437668316
2023/02,0.1910622326961684
2023/03,0.2067362512060346
2023/04,0.1792111608680675
2023/05,0.1288747864290944
2023/06,0.1468113548792955
