Year/Month,Price
2021/01,2.645417
2021/02,2.6521825
2021/03,2.6715045
2021/04,2.6748561000000004
2021/05,2.6933164
2021/06,2.6937508
2021/07,2.6917139
2021/08,2.7342229
2021/09,2.7555684
2021/10,2.7621331
2021/11,2.7822263000000005
2021/12,2.7909942
2022/01,2.936635666666666
2022/02,2.958926111111111
2022/03,3.0621824444444443
2022/04,3.1668004444444446
2022/05,3.281708888888889
2022/06,3.3693107777777778
2022/07,3.441351222222222
2022/08,3.4804604444444447
2022/09,3.535508111111111
2022/10,3.5350866666666665
2022/11,3.594591555555555
2022/12,3.619640444444444
2023/01,3.5621184444444447
2023/02,3.574319222222223
2023/03,3.656044888888889
2023/04,3.644218777777778
2023/05,3.643311555555555
2023/06,3.648211444444444
