Year/Month,FI
2021/01,0.0208683611907822
2021/02,0.0107254290171605
2021/03,0.0075340481019994
2021/04,0.0126198395617296
2021/05,0.000387071801819
2021/06,-0.0016377649325626
2021/07,-0.0067094795360874
2021/08,-0.0020174848688635
2021/09,0.0034695451040862
2021/10,0.0035450800038323
2021/11,0.0099565007249879
2021/12,0.0075442499274591
2022/01,0.0158883937221467
2022/02,0.0292301755739918
2022/03,0.02367941712204
2022/04,0.0489807748043666
2022/05,0.1209131360030952
2022/06,0.1639486635144265
2022/07,0.1664575895011097
2022/08,0.1675972275702735
2022/09,0.2196504033807145
2022/10,0.2210234867290434
2022/11,0.2166921898928024
2022/12,0.2072573677642315
2023/01,0.1995994659546063
2023/02,0.2114537444933921
2023/03,0.2083723543734781
2023/04,0.1882482961871432
2023/05,0.108560579910252
2023/06,0.0618471231968165
