Year/Month,RO
2021/01,0.0062033624022295
2021/02,-0.0095045322538062
2021/03,-0.046068174147823
2021/04,-0.0756275303643725
2021/05,-0.072802513602575
2021/06,-0.0658335873209388
2021/07,-0.0401296496372898
2021/08,-0.0204718112754898
2021/09,-0.0003316199635218
2021/10,0.0327449475569199
2021/11,0.0537329313708103
2021/12,0.0728010825439784
2022/01,0.0674588992137241
2022/02,0.0898267436694801
2022/03,0.1109145586414293
2022/04,0.0997722494744219
2022/05,0.064054880568642
2022/06,0.0514681892332788
2022/07,0.0525808007718282
2022/08,0.0836803004326884
2022/09,0.1110466080610383
2022/10,0.13566179506234
2022/11,0.1524739145069
2022/12,0.1429532458795828
2023/01,0.160123880472085
2023/02,0.1606880808739605
2023/03,0.1502388535031846
2023/04,0.1772998805256871
2023/05,0.1882864688519494
2023/06,0.1602668528430688
