Year/Month,SI
2021/01,-0.0261327149482697
2021/02,-0.0235894727576797
2021/03,0.0188453759882332
2021/04,0.0202037947997189
2021/05,0.0188628158844765
2021/06,0.04307047896558
2021/07,-0.005183199285076
2021/08,0.0070091303144885
2021/09,0.0445823927765238
2021/10,0.0386133032694475
2021/11,0.0314790452922382
2021/12,0.0734570238546006
2022/01,0.0698781939738071
2022/02,0.0849184170197421
2022/03,0.0846341243345665
2022/04,0.0832615808506973
2022/05,0.0681194082735405
2022/06,0.0527280663465736
2022/07,0.0679123248293209
2022/08,0.1099917574869493
2022/09,0.1106609040158472
2022/10,0.1640886476707372
2022/11,0.1736357839118156
2022/12,0.1526455026455027
2023/01,0.147577469611368
2023/02,0.1691732447029499
2023/03,0.2108809583229349
2023/04,0.1572212065813527
2023/05,0.2017747553491458
2023/06,0.1982751471929678
