Year/Month,FI
2021/01,-0.0113766730401529
2021/02,-0.0081068192656175
2021/03,-0.03515625
2021/04,-0.0255697609783212
2021/05,-0.0485196641626161
2021/06,-0.0616728427739545
2021/07,-0.0436139932053989
2021/08,-0.0294365801068716
2021/09,-0.0186288416075649
2021/10,-0.0100741303934613
2021/11,-0.0089811956216671
2021/12,0.0027775117325927
2022/01,0.0295909486510008
2022/02,0.029326923076923
2022/03,0.0348949296317717
2022/04,0.0274767065982124
2022/05,0.0403120936280885
2022/06,0.0552891396332864
2022/07,0.0609639016897083
2022/08,0.0750507099391479
2022/09,0.0528040084794758
2022/10,0.0567396313364054
2022/11,0.0830737279335409
2022/12,0.1048710601719198
2023/01,0.0985254062177138
2023/02,0.1154600653900046
2023/03,0.1248137108792846
2023/04,0.1102988803553253
2023/05,0.0718749999999999
2023/06,0.0518577920342153
