Year/Month,BG
2021/01,-0.0999327303983854
2021/02,-0.0617794856636121
2021/03,-0.0430304417486837
2021/04,-0.0423881945490136
2021/05,-0.0136954139928001
2021/06,-0.0177894910228957
2021/07,0.0260642135642135
2021/08,0.1008418910167452
2021/09,0.1163777537016974
2021/10,0.1085714285714285
2021/11,0.0706993363961203
2021/12,0.1239330829634688
2022/01,0.1740574655372861
2022/02,0.2392091997479521
2022/03,0.2614207127481462
2022/04,0.3243965720575517
2022/05,0.2571609934142664
2022/06,0.1746604058359886
2022/07,0.2095455744045005
2022/08,0.152785948399025
2022/09,0.1664375252729477
2022/10,0.181919111816019
2022/11,0.2349622566547475
2022/12,0.2154465370595382
2023/01,0.1944405149243175
2023/02,0.1761901735206255
2023/03,0.1847427632410567
2023/04,0.1088156723063225
2023/05,0.1520449381469326
2023/06,0.2062959526018988
