Year/Month,Fraud
2021/01,0.34699526749453213
2021/02,0.2170379831376182
2021/03,0.16244722454650995
2021/04,0.07316038968083445
2021/05,0.11088047652040073
2021/06,-0.01910378660372548
2021/07,-0.07930347718444508
2021/08,-0.1441964126123275
2021/09,-0.142990880421636
2021/10,-0.1912342564128119
2021/11,-0.22488064611187225
2021/12,-0.2630296058596446
2022/01,-0.3142988037813183
2022/02,-0.2744180332751925
2022/03,-0.27413668135717667
2022/04,-0.3401593379509771
2022/05,-0.33677384155331996
2022/06,-0.2886929327522077
2022/07,-0.29002417618165993
2022/08,-0.2987635637858362
2022/09,-0.26051492740725446
2022/10,-0.2780031869907527
2022/11,-0.29059841979205464
2022/12,-0.2721684317605103
2023/01,-0.24703128352119866
2023/02,-0.25386049833824353
2023/03,-0.20012742791888968
2023/04,-0.06579971263102315
2023/05,-0.05243016165842361
2023/06,-0.014075457974044327
