Year/Month,RO
2021/01,0.0326665443200586
2021/02,0.033104080696928
2021/03,0.0282243332115454
2021/04,0.0246879839664755
2021/05,0.0241369887967937
2021/06,0.0234737512510234
2021/07,0.0264665757162345
2021/08,0.0272867373764844
2021/09,0.0317632196354449
2021/10,0.0394642215030565
2021/11,0.0436145441518898
2021/12,0.0484000356538016
2022/01,0.0582903856406609
2022/02,0.0709213562932717
2022/03,0.0933641289864084
2022/04,0.1208214793741109
2022/05,0.1326929918178585
2022/06,0.1474797759800872
2022/07,0.1629452418926102
2022/08,0.2037592657959761
2022/09,0.229053699492741
2022/10,0.2571996886621119
2022/11,0.2951171372178838
2022/12,0.3130419996599216
2023/01,0.317296389588581
2023/02,0.3184417737256526
2023/03,0.3019174520636984
2023/04,0.2797652098040772
2023/05,0.2390860552763818
2023/06,0.2120390455531451
