Year/Month,Fraud
2021/01,0.0736444463368321
2021/02,0.04454308260852323
2021/03,-0.005151736413762779
2021/04,-0.04735037569011961
2021/05,-0.07744786062155752
2021/06,-0.05383898871801685
2021/07,-0.023776312445831956
2021/08,-0.10134262071345361
2021/09,-0.04628403437645328
2021/10,-0.07786031984020247
2021/11,-0.12034819814523477
2021/12,-0.14519542659893928
2022/01,-0.18673027359559707
2022/02,-0.19627138811753367
2022/03,-0.2155264609652291
2022/04,-0.23251174058642088
2022/05,-0.2322878301883936
2022/06,-0.22977742750821584
2022/07,-0.1747355740493709
2022/08,-0.08729886109189199
2022/09,-0.11937614164254381
2022/10,-0.089405448774796
2022/11,0.025671143450234996
2022/12,0.0814489012587827
2023/01,0.1968938073875941
2023/02,0.31090272616658826
2023/03,0.40395914288186036
2023/04,0.44935320762424996
2023/05,0.45687003913644686
2023/06,0.4620121567035683
