Year/Month,EL
2021/01,-0.0146675673067644
2021/02,-0.0158850946447256
2021/03,-0.0044583570479984
2021/04,-0.0704212781149589
2021/05,-0.1106475300400534
2021/06,-0.0288171043458052
2021/07,0.0418810361946024
2021/08,0.0342960288808664
2021/09,0.0069815549043268
2021/10,-0.0385955741418365
2021/11,0.0013187972569017
2021/12,0.0496576993539679
2022/01,0.0737440015669377
2022/02,0.0869901411173399
2022/03,0.0713673177703668
2022/04,0.0792126740278444
2022/05,0.0980484143366484
2022/06,0.0822365797240169
2022/07,-0.0023390799618817
2022/08,0.0163176265270506
2022/09,-0.0312419755199861
2022/10,0.0385138196647032
2022/11,0.0363508648696111
2022/12,0.027466470696307
2023/01,0.0120394016782194
2023/02,-0.0018673306064377
2023/03,0.0065812877979367
2023/04,0.0043594306049821
2023/05,0.0256344527044347
2023/06,0.1018573113207546
