Year/Month,ES
2021/01,-0.012382900829116
2021/02,0.0052156905356948
2021/03,0.0194819329560296
2021/04,0.0426453079337589
2021/05,0.0780761350156367
2021/06,0.1311475409836064
2021/07,0.2042045330121538
2021/08,0.2291460600065942
2021/09,0.235404688191066
2021/10,0.2387615689731159
2021/11,0.2361522430624107
2021/12,0.2440274899094578
2022/01,0.2846707370257304
2022/02,0.2807264079558966
2022/03,0.3207003309490763
2022/04,0.4839613827468076
2022/05,0.4467340202060619
2022/06,0.3700930991457913
2022/07,0.285779232587743
2022/08,0.2396280400572243
2022/09,0.238431934126913
2022/10,0.2391710397580715
2022/11,0.3148181011535049
2022/12,0.3812697299193266
2023/01,0.3133327675464652
2023/02,0.3292538825118163
2023/03,0.2810605448225689
2023/04,0.1226302903112976
2023/05,0.1165041830878794
2023/06,0.1535551663747809
