Year/Month,BE,BG,DK,DE,EL,ES,FR,HR,IT,NL,AT,PL,PT,RO,SI,FI
2021/01,0.012279210352318826,-0.03289897039897027,-0.002865329512893977,0.034946236559139754,9.864851533980534e-05,0.01623560505946764,0.005759940542549247,-0.027756868648852073,0.009496676163342821,0.020471464019851116,-0.02364711232378358,-0.026337448559670795,0.004042493184168494,0.03606998654104987,-0.007642563198118735,0.02086836119078228
2021/02,0.004416463070851417,-0.0411694032839407,-0.0047483380816714105,0.01936619718309851,-0.0038583300356153094,0.01004883546205848,0.008916132627472706,-0.02937576499387995,0.005687203791469031,0.0007775377969763131,-0.0002694691457828524,-0.025577557755775637,-0.0022492970946580426,0.031874999999999876,-0.015350149352804432,0.01072542901716056
2021/03,9.308386856554662e-05,-0.04516335682254968,-0.04189944134078216,0.013973799126637543,-0.008307783602017671,0.008323202094828286,0.005930318754633124,-0.028705440900562706,0.0,-0.016822429906542036,0.015706806282722363,-0.0299352750809061,-0.003446348733234017,0.025591074116709356,-0.023250082155767293,0.007534048101999424
2021/04,-0.0038924930491195386,-0.03175621491579794,-0.011310084825636113,0.015625,-0.0035774619894664017,0.004826434007796587,0.004526140772215026,-0.01664459996217127,-0.0009380863039398779,-0.01971447994561526,-0.009966186154119816,-0.01300813008130075,-0.007318635074558544,0.02506596306068598,-0.02737811395214995,0.012619839561729629
2021/05,-0.003985540828621792,-0.02589881766267188,-0.014058106841612017,0.01384083044982698,0.014466726528983287,0.008941877794336861,0.0005517241379311422,-0.02399848828420259,0.0009380863039401,-0.014797176630665931,0.035184167124793886,0.01822700911350461,0.007943105199962996,0.024353920280332897,-0.01622734761120259,0.0003870718018190722
2021/06,0.0013036595586182198,-0.01967479674796746,-0.01037735849056598,0.0060344827586207295,0.009133326714980683,0.012515176987017762,0.005796301407673177,-0.0042077077555704445,0.00470366886171214,-0.016119453635361047,0.00839135868594898,0.0314830157415078,0.012094912750438613,0.024385980246482086,0.0065010835139189815,-0.0016377649325626242
2021/07,0.003894297635605115,-0.014738393515106862,0.0028248587570620654,0.03242769500438225,0.004067460317460192,0.010345791779289737,0.011658031088082943,0.01077026637176659,0.007547169811320753,-0.013481431236221808,0.0025830586977821923,0.04159733777038266,0.008689221667591118,0.026538629419467608,-0.0004153858934951016,-0.00670947953608747
2021/08,0.007428730615655965,-0.006036550070288582,0.015311004784688942,0.03508771929824572,0.014111100069561733,0.006870299879305541,0.011067047864981916,0.0002850898032880078,0.011310084825636224,-0.0030640905608988467,0.012435140454464033,0.049579831932773155,0.018161497625034828,0.02852905252137483,-0.002564102564102555,-0.0020174848688635505
2021/09,0.003906613338294118,-0.008821831972957384,0.009624639076034613,0.040492957746478986,0.013756927949327036,0.008913649025069637,0.010630430763542087,0.008750000000000036,0.01226415094339628,-0.009580330648579993,0.008844813722862499,0.038590604026845554,0.004208754208754328,0.032693984306887636,0.003970551741252493,0.003469545104086258
2021/10,0.004628343978524407,0.00811661421235721,0.012404580152671763,0.0448154657293498,0.029983066042434503,0.013277623026926477,0.013797573849430478,0.018982462902293218,0.017029328287606393,-0.0034917390563787842,0.00801924619085792,0.03895004233700261,0.007844602166604542,0.03611207796728144,-0.01071873701703363,0.003545080003832357
