Year/Month,BE,BG,DK,DE,EL,ES,FR,HR,IT,NL,AT,PL,PT,RO,SI,FI
2021/01,0.0160163888630227,0.02746321890325465,-0.0038131553860820677,0.0180342651036971,0.008093889113719221,0.0045684775052141635,0.0002883783523983663,-0.017813921967276602,-0.0009699321047526022,-0.0029281277728482324,-0.0020914535602243323,0.021390374331550666,0.006642449403217343,0.032666544320058666,-0.004877115807592869,-0.004590360243488578
2021/02,0.008414239482200658,0.026873614190687345,0.0018814675446849893,0.02524797114517585,0.007411919991877403,0.0028827037773360153,0.00038498556304134013,-0.014083139083138962,-0.0019436345966958868,0.0008781173164735812,0.025101062329604185,0.021352313167259718,0.0008311688311688492,0.03310408069692805,-0.007869536361050478,-0.0053645936817007245
2021/03,-0.0017443995593096062,0.01629955947136552,0.002827521206409056,0.023402340234023544,0.0018300122000813879,9.894132779275644e-05,0.0018270987594961596,-0.021855269548324396,-0.008662175168431263,0.0032487487926946557,0.0011144130757800852,0.019486271036315284,-0.0026834554649602937,0.028224333211545494,-0.021550094517958418,-0.0064394689914799574
2021/04,-0.006854949273375377,0.006246746486205046,0.004725897920604849,0.023297491039426577,0.0003052192491606043,-0.004231034143461487,0.0052113491603935636,-0.03262016693850145,-0.010546500479386323,-0.005807905686546433,0.0013075558046138358,0.024800708591673937,-0.019693432138869316,0.024687983966475535,-0.014866016475712507,-0.005861315318895333
2021/05,-0.005654354765161962,0.0060198918164369175,0.0009319664492080104,0.015017667844523075,-0.007782494441075372,-0.006677796327211993,0.002699575780948704,-0.011772718427709772,-0.011505273250239756,0.0017371666811429876,-0.005215609574369062,0.021126760563380254,0.006980620962700579,0.024136988796793712,-0.013824448442382287,-0.006147134642078167
2021/06,-0.0007333394444953845,0.012880049066853472,0.007448789571694592,0.024778761061946986,-0.006548458593592654,-0.0006906077348065587,0.006196146771226596,0.0039949332553834704,-0.0028901734104046506,0.0027901299154242665,-0.016732920403069285,0.021052631578947434,-0.0025685811157916127,0.023473751251023467,-0.016155088852988664,-0.005353425200753548
2021/07,-0.00027324892977498294,0.021906764808973023,0.01845018450184499,0.05063291139240511,0.005657708628005631,-0.0010844917677217403,9.605225242537152e-05,0.01889351806995454,0.0,0.007659500391679064,-0.01749190189726979,0.027288732394366244,-0.004428880420228709,0.026466575716234564,-0.011044463486622802,-0.0042688374863497636
2021/08,-0.003811944091486663,0.02519023878247184,0.022325581395348904,0.0504959422903517,0.011864065956163294,0.0013821700069107656,-0.00038402457757291675,0.03649136501122063,0.0029013539651836506,0.012778164116828972,-0.022662103413190304,0.029903254177660488,-0.002270381836945279,0.02728673737648446,-0.012509476876421455,-0.004364646364447999
2021/09,-0.005468963631391821,0.037027333857305056,0.04115996258185217,0.05605786618444841,-0.0017169982830017583,0.00871891409888037,-0.0008658008658009031,0.04145026947574726,0.005836575875486361,0.007667508930905287,-0.019644180874722084,0.03609154929577474,0.0033336805917283385,0.03176321963544493,-0.009301442672741134,0.00248508946322068
2021/10,0.0010071415491668123,0.06006974716652147,0.034514925373134275,0.059782608695652106,0.00754830917874405,0.013359722909450866,0.0005780346820809523,0.050738916256157784,0.007797270955165914,0.01719472811381695,-0.003981481481481586,0.04929577464788748,-0.002375051631557268,0.03946422150305651,-0.011308562197092087,-0.0014900168868581254
2021/11,0.008199742030587709,0.07961618257261405,0.05700934579439254,0.06425339366515836,0.017699115044247815,0.020652173913043415,-0.0019157088122605526,0.08986539984164676,0.0077821011673151474,0.02560964950616218,0.0007393715341958984,0.06409130816505715,0.0017569243489046205,0.04361454415188981,-0.00487106017191985,0.001692889862577207
2021/12,0.014635493372606723,0.09772353501255071,0.04433962264150937,0.0678733031674208,0.02545783859931583,0.03626634958382868,0.00615858352578913,0.09649209977144002,0.011684518013632017,0.031121601538596,0.006280014776505194,0.08318739054290725,0.0035214914552046395,0.04840003565380169,0.028163617204713054,0.004094268024765313
2022/01,0.025387223902483713,0.12201683589343038,0.09952153110047846,0.05845881310894585,0.04295463669209143,0.04636678200692046,0.004708821833557586,0.11690487925086246,0.01650485436893212,0.06060336388715859,0.02743641040297229,0.11169284467713791,0.01938344159191674,0.05829038564066091,0.03507591773976548,0.005814536340852161
2022/02,0.04309554373739233,0.13223354638106755,0.1051643192488263,0.062445030782761535,0.05996774843781494,0.06006541778174257,0.00760053877236877,0.11358486848586358,0.02434274586173313,0.06816985436041412,0.029163609684519365,0.08797909407665516,0.040693449600332166,0.07092135629327179,0.04768730886850148,0.019876148621653877
2022/03,0.05895337073484774,0.1719982661465107,0.10244360902255623,0.0712401055408971,0.08483864420539877,0.07489117530668787,0.01679784987521593,0.1426017874875869,0.029126213592232997,0.06905303693331,0.0556586270871986,0.09035621198957444,0.05671116630446038,0.09336412898640845,0.07061437403400306,0.02054043274503936
2022/04,0.06129210381004957,0.21227797896188982,0.14111006585136399,0.09281961471103317,0.11767697314890158,0.10968379446640308,0.032834101382488434,0.1698899137161558,0.04069767441860472,0.09442845932513722,0.06920996175729877,0.11581676750216063,0.0707258983121053,0.12082147937411092,0.08217993079584773,0.037573698411112355
2022/05,0.08566449601027237,0.253143699592403,0.16014897579143383,0.1296779808529156,0.14169298156259535,0.13811171527434496,0.04701923076923076,0.2049817859604215,0.06207565470417076,0.10630365039452006,0.09418593764628791,0.14396551724137918,0.10719089498189338,0.13269299181785854,0.10600096015362448,0.09457302474062246
