Year/Month,BE,BG,DK,DE,EL,ES,FR,HR,IT,NL,AT,PL,PT,RO,SI,FI
2021/01,0.008636234222264338,0.05678800856531052,0.013461538461538414,0.011288805268109048,0.004262228536634716,0.002347647461606206,0.0029075402209730594,0.006768350810295365,0.00588235294117645,0.005626151906101384,-0.008198248555990384,0.030927835051546282,0.011708672355626115,0.053871142393070004,-0.0040022870211550154,0.005019191024505432
2021/02,0.000945715906941702,0.060959020574732126,0.013257575757575912,0.017857142857142794,-0.0019238558120697746,0.0008785630613041828,0.003974023456431164,-0.0010487177042616258,0.001966568338249708,0.0056894889103182855,0.012170196952805634,0.025466893039049143,0.004150197628458585,0.054277498202731866,-0.005695301376364426,-0.0002943196311193663
2021/03,-0.0007508212106991374,0.05519398191192626,0.000954198473282597,0.019718309859154903,0.00020327269031406026,-0.0011685655857435195,0.005226986738940953,0.004574042309891446,-0.0009746588693956282,0.0016289766193944288,0.007612328258447931,0.02700421940928277,0.0024630541871921707,0.04841149773071107,-0.007754870436920691,0.0042119698305416176
2021/04,-0.0012183692596064999,0.05590166694729759,0.000945179584121103,0.015873015873015817,-0.006782749544442246,-0.004253673627223509,-0.008485888634630068,0.007911543227528295,-0.0058083252662148865,-0.014698909435751473,0.0009220839096357736,0.026006711409396033,-0.01463745637844116,0.04610211485709215,-0.005117998294000614,0.006564122660918992
2021/05,-0.00562271577171769,0.05260956841753095,0.006591337099811634,0.020560747663551426,-0.001926586899209104,-0.006466557282115648,-0.0021088957055214186,0.003524145156681646,-0.007729468599033784,-0.0053307948595906485,0.013325878296523985,0.02251876563803168,-0.004196350151263739,0.042255995783185396,-0.005207840166650879,0.003702981874878164
2021/06,0.0009399379640944172,0.05076948812311799,0.00470366886171214,0.016759776536312776,-0.004172603297374455,-0.002324455205811038,-0.001154290111581302,0.009124607927003314,-0.0038722168441431837,0.0006670478368593358,0.004813477737665384,0.024126455906821942,-0.008742957062366385,0.04152823920265791,0.0018088347296267848,0.007135177402013637
2021/07,0.0009339684318669939,0.052635962355292776,0.006535947712418277,0.04186489058039977,0.0027469732424458826,0.0031125376908860414,0.0031834844684546226,0.01699582225598184,0.0009718172983479434,0.00095483624558379,0.007016895946819313,0.03171953255425697,-0.0049610894941632955,0.0427313159501177,0.014391917651544128,0.009878716744913918
2021/08,0.0060987051979735085,0.058700734802939136,0.01037735849056598,0.0436432637571158,0.002244668911335568,0.00495964212778377,0.005694980694980645,0.026622453813358593,0.0038872691933915515,0.0018124582657637056,0.005084119060824621,0.03849372384937233,0.004008603832616364,0.04577495431207046,0.014349520098831059,0.013269117357971316
2021/09,0.001972942502818542,0.0710473649099399,0.015151515151515138,0.04843304843304841,0.010648007301490736,0.008385335413416461,0.0060916650551150475,0.03631020098596882,0.009803921568627416,0.0013358778625953693,0.008440775438270931,0.04526404023470243,0.006892477353288795,0.05155802447704194,0.021260440394836655,0.007816316560820935
2021/10,0.011379667074203015,0.0967177607464178,0.015108593012275628,0.05133079847908739,0.014653865588681203,0.01677230619210146,0.008806735701151647,0.052686538826656415,0.013752455795677854,0.0030560595931621304,0.017545479730353586,0.05774058577405872,0.01059446733372571,0.06330537057856955,0.022139870771569647,0.009107824894721395
2021/11,0.017142318922482636,0.14270270270270258,0.014967259120673537,0.053030303030303205,0.026624822838631212,0.023721202655212936,0.013546202225447557,0.07481320344273135,0.021505376344086002,0.0067735165044839896,0.020647064245552738,0.07460184409052806,0.004406149025751427,0.08577839143942012,0.02953828505878975,0.013947549356644773
2021/12,0.021765530126109267,0.1522962721266008,0.01986754966887405,0.06054872280037826,0.0343053173241854,0.04244548286604366,0.01749806651198771,0.10251506168117075,0.03033268101761255,0.01357812201185693,0.029679316364972896,0.08953974895397487,0.02277188849627021,0.0961935928349984,0.06404129229592792,0.012562567474727615
2022/01,0.03904779826872429,0.17231317879721186,0.055977229601517964,0.04744186046511634,0.04031932093775281,0.05845613350248846,0.024449168921530706,0.11286809961177924,0.0370370370370372,0.03453265168322561,0.05682885590832254,0.11083333333333334,0.042467634366418316,0.1046322459114648,0.08429008802143123,0.014688601645123311
2022/02,0.05083144368858661,0.18238640916740123,0.07196261682242988,0.051708217913204235,0.05833417875621394,0.07402711401541007,0.027128789341571702,0.13714449322389766,0.05103042198233543,0.03960111228305685,0.05846718678292784,0.10016556291390732,0.06248769927179687,0.12811114899420395,0.10081145584725548,0.03130520117762514
2022/03,0.05344228421151498,0.20850688881768664,0.08388941849380349,0.0607734806629836,0.076008535717915,0.07916544798674074,0.0331246990852192,0.14665148928097138,0.05951219512195127,0.04611116425906436,0.07167864381794709,0.10599835661462609,0.08442260442260441,0.15779645191409908,0.10112466641250473,0.03306671868903632
2022/04,0.08435769916486824,0.23815978312868746,0.10103871576959378,0.08823529411764719,0.09988788094995416,0.1214563106796116,0.040292335801519474,0.18942689616039354,0.07789678675754619,0.05919153031761293,0.08226623675725486,0.1414554374488961,0.11431382193802242,0.19573676196921008,0.13251405163380015,0.04525987930698849
2022/05,0.09744604655546141,0.3071911005164878,0.10944808231992509,0.1071428571428572,0.13400386061160208,0.14717311054983484,0.05465898174831896,0.2237091875474564,0.09055501460564752,0.06488659201837499,0.08699650542578641,0.16313213703099505,0.13141905135241072,0.2173803101820635,0.14839139539310864,0.0647572815533981
2022/06,0.10648887219457226,0.35405555997771243,0.12359550561797761,0.12454212454212454,0.1593254982115484,0.16483836520726136,0.06635208012326665,0.24875200150701704,0.10787172011661794,0.07561184649081043,0.11229847996315057,0.17790414297319268,0.15160721285770284,0.23142785192646675,0.16326142734961513,0.07909549689440976
2022/07,0.1167304282914996,0.288076588337685,0.14285714285714302,0.14885844748858434,0.16680194805194803,0.17948220692330064,0.0760650062506012,0.2539445429931846,0.12524271844660206,0.09157683869121436,0.11212982488310264,0.19174757281553423,0.16091504545898916,0.23919043238270477,0.15841398102038906,0.10653753026634383
2022/08,0.12822904038049043,0.2781765123432447,0.1512605042016808,0.16909090909090896,0.18507584241066866,0.18879427133733295,0.09108359727421056,0.26430417128091555,0.13359148112294283,0.10531327366215959,0.1279315736227351,0.2119258662369059,0.16398870386600461,0.24590163934426235,0.16432452688776467,0.11766417693277709
2022/09,0.14195968120018754,0.27553721582061685,0.1473880597014925,0.18387681159420266,0.18492875777644002,0.19096886482305164,0.0992791926958192,0.2614582380386057,0.14271844660194177,0.10081951591385563,0.13291022810890363,0.22213311948676817,0.17289262663798155,0.25835740817168773,0.1675650557620818,0.1625787687833251
2022/10,0.14915380323600513,0.26897075579187235,0.1646511627906977,0.19620253164556978,0.19392430278884465,0.18950800805600854,0.11224098234842672,0.2818108034989628,0.15891472868217038,0.11330096163001047,0.14420546329067974,0.22547468354430378,0.17996505532906237,0.26531110207401376,0.18899321372129796,0.170807453416149
2022/11,0.1708491526993241,0.23382577687213435,0.17235023041474662,0.20953237410071934,0.1875554679025737,0.19404977591303507,0.11799522673031015,0.27719112988384365,0.1617224880382775,0.14071827916232338,0.15307504741262523,0.23010920436817472,0.20627802690582953,0.26156413924654265,0.20241411327762293,0.1663276179405211
2022/12,0.17068933991588975,0.2003397989522866,0.16604823747680886,0.21231043710972353,0.18037264657106622,0.19555472543892427,0.12104513064133005,0.27582617746552174,0.16429249762583087,0.1638679245283019,0.16053899696591123,0.2281105990783412,0.2085412667946258,0.2591719695184225,0.17256557671577433,0.1690413880003876
2023/01,0.20365842615231355,0.1866012168141593,0.16442048517520202,0.2335701598579043,0.18591549295774645,0.1873501751797899,0.13357230449957558,0.2743980260359058,0.1635338345864661,0.1799533799533799,0.1731401653186384,0.22505626406601653,0.20651049016840717,0.25773195876288657,0.1724168357892879,0.17409766454352438
2023/02,0.2174069411976265,0.17139952558454752,0.1578029642545773,0.2458296751536435,0.16871165644171793,0.18833999273519808,0.1435285271172102,0.26026017624842623,0.16900093370681613,0.19479800774764788,0.1612036073534513,0.25432656132430376,0.20783550986385113,0.2392142047601058,0.18758130257566563,0.18003615948234852
2023/03,0.2195970042796005,0.15622721548352891,0.1767810026385226,0.2421875,0.15619983001227689,0.18718944800795012,0.15434802870724185,0.24321641297154217,0.16206261510128916,0.19524462734339276,0.15182255845942216,0.2548291233283806,0.1877832155156789,0.2108504398826978,0.20115987189474605,0.18345765272401104
2023/04,0.16709934233298718,0.13935217979264602,0.15180102915951998,0.21706081081081074,0.13798535816884439,0.14319106570859663,0.1581623220558328,0.21022501391428805,0.145438121047877,0.18764198091776452,0.15330268981954376,0.21991404011461335,0.15670521762161216,0.18010752688172027,0.17336810228802157,0.1773908185119657
2023/05,0.16041219407471008,0.08011671023038125,0.1281618887015179,0.1976840363937138,0.11109120229349578,0.1185536455245999,0.14746333910192178,0.19250756224307763,0.13571428571428568,0.18935921632066144,0.14627749576988158,0.20126227208976166,0.0987440450411432,0.15647718618015638,0.16220472440944866,0.1590225221117898
2023/06,0.14537893575490113,0.04767503380165761,0.1299999999999999,0.18729641693811083,0.0944992947813823,0.10267522293524456,0.1405219904271653,0.17287675365816857,0.11754385964912295,0.172996901283754,0.13235050521782354,0.18620689655172407,0.08220576972172577,0.14498977505112487,0.14263540560411747,0.13985070599874083
