Year/Month,Fraud
2021/01,0.042628201330503865
2021/02,0.04902709805985195
2021/03,-0.02857448310214173
2021/04,-0.1610547431843841
2021/05,-0.18985064469291085
2021/06,-0.19024879999673486
2021/07,-0.14995976132532599
2021/08,-0.13385937853493005
2021/09,-0.1301451839773216
2021/10,-0.16662509640177833
2021/11,-0.18873190552219585
2021/12,-0.14081333152449252
2022/01,-0.10696604194405401
2022/02,-0.13731406625419637
2022/03,-0.13957198100234797
2022/04,-0.13946087751810876
2022/05,-0.0818682499186267
2022/06,-0.045694773072799955
2022/07,-0.07051071253392087
2022/08,-0.04037142115300029
2022/09,0.02163472357875622
2022/10,0.04281764646990294
2022/11,0.06171273486089668
2022/12,0.03704856224311254
2023/01,0.02560749116925745
2023/02,0.08060115398382074
2023/03,0.08887260550920843
2023/04,0.13538752137293394
2023/05,0.1981842111031232
2023/06,0.27018453693345573
