Year/Month,SI
2021/01,-0.004002287021155
2021/02,-0.0056953013763644
2021/03,-0.0077548704369206
2021/04,-0.0051179982940006
2021/05,-0.0052078401666508
2021/06,0.0018088347296267
2021/07,0.0143919176515441
2021/08,0.014349520098831
2021/09,0.0212604403948366
2021/10,0.0221398707715696
2021/11,0.0295382850587897
2021/12,0.0640412922959279
2022/01,0.0842900880214312
2022/02,0.1008114558472554
2022/03,0.1011246664125047
2022/04,0.1325140516338001
2022/05,0.1483913953931086
2022/06,0.1632614273496151
2022/07,0.158413981020389
2022/08,0.1643245268877646
2022/09,0.1675650557620818
2022/10,0.1889932137212979
2022/11,0.2024141132776229
2022/12,0.1725655767157743
2023/01,0.1724168357892879
2023/02,0.1875813025756656
2023/03,0.201159871894746
2023/04,0.1733681022880215
2023/05,0.1622047244094486
2023/06,0.1426354056041174
