Year/Month,HR
2021/01,-0.0475891736870407
2021/02,-0.0261443821241179
2021/03,-0.0256154960173786
2021/04,-0.0237306349064208
2021/05,-9.244707405020593e-05
2021/06,-0.0011429659967615
2021/07,0.0592016588906167
2021/08,0.0854456255110385
2021/09,0.0836113638661411
2021/10,0.0463328075709779
2021/11,0.0584561335024884
2021/12,0.1173685767827201
2022/01,0.1394561023807283
2022/02,0.1351602415234556
2022/03,0.1133302368787736
2022/04,0.1053017794900019
2022/05,0.0854289940828403
2022/06,0.1205301802231333
2022/07,0.1193226311667972
2022/08,0.1065913370998115
2022/09,0.1331405112894197
2022/10,0.1818353118522706
2022/11,0.1378388345933985
2022/12,0.0877394297819753
2023/01,0.0493021719382278
2023/02,0.1022913256955808
2023/03,0.203337505214852
2023/04,0.1820746887966804
2023/05,0.2095400340715503
2023/06,0.2598927750829716
