Year/Month,PT
2021/01,0.0066424494032173
2021/02,0.0008311688311688
2021/03,-0.0026834554649602
2021/04,-0.0196934321388693
2021/05,0.0069806209627005
2021/06,-0.0025685811157916
2021/07,-0.0044288804202287
2021/08,-0.0022703818369452
2021/09,0.0033336805917283
2021/10,-0.0023750516315572
2021/11,0.0017569243489046
2021/12,0.0035214914552046
2022/01,0.0193834415919167
2022/02,0.0406934496003321
2022/03,0.0567111663044603
2022/04,0.0707258983121053
2022/05,0.1071908949818933
2022/06,0.1175319324268644
2022/07,0.1345954893440928
2022/08,0.1437732726520479
2022/09,0.1651957221472328
2022/10,0.2211986336818134
2022/11,0.2976374703394202
2022/12,0.3182991020745176
2023/01,0.3098007484575704
2023/02,0.2899750623441395
2023/03,0.2796983645088629
2023/04,0.2612185686653772
2023/05,0.1577422670778432
2023/06,0.1355885335053923
