Year/Month,HR
2021/01,-0.0180196578085183
2021/02,0.0083994831087317
2021/03,-0.0084376701143167
2021/04,0.0201055312954876
2021/05,0.0459962756052141
2021/06,0.0635719612229679
2021/07,0.1867097632854835
2021/08,0.1723368655883994
2021/09,0.1827396741189844
2021/10,0.2019559437903533
2021/11,0.2072298113558219
2021/12,0.216012947448591
2022/01,0.2843373493975905
2022/02,0.2296567505720823
2022/03,0.2171287400494097
2022/04,0.2756621778293053
2022/05,0.3298914011037921
2022/06,0.3275197195442594
2022/07,0.2540254746455179
2022/08,0.2549159530605773
2022/09,0.1582699239086906
2022/10,0.1300260684098271
2022/11,0.0925255946424448
2022/12,0.1391998747357705
2023/01,0.0581613508442775
2023/02,0.0534464790829238
2023/03,0.0556307322207185
2023/04,-0.0497063758389261
2023/05,-0.0791164658634537
2023/06,-0.0951343500363107
