Year/Month,RO
2021/01,0.05387114239307
2021/02,0.0542774982027318
2021/03,0.048411497730711
2021/04,0.0461021148570921
2021/05,0.0422559957831853
2021/06,0.0415282392026579
2021/07,0.0427313159501177
2021/08,0.0457749543120704
2021/09,0.0515580244770419
2021/10,0.0633053705785695
2021/11,0.0857783914394201
2021/12,0.0961935928349984
2022/01,0.1046322459114648
2022/02,0.1281111489942039
2022/03,0.157796451914099
2022/04,0.19573676196921
2022/05,0.2173803101820635
2022/06,0.2314278519264667
2022/07,0.2391904323827047
2022/08,0.2459016393442623
2022/09,0.2583574081716877
2022/10,0.2653111020740137
2022/11,0.2615641392465426
2022/12,0.2591719695184225
2023/01,0.2577319587628865
2023/02,0.2392142047601058
2023/03,0.2108504398826978
2023/04,0.1801075268817202
2023/05,0.1564771861801563
2023/06,0.1449897750511248
