Year/Month,Fraud
2021/01,0.06460358531923169
2021/02,0.04505405144269383
2021/03,0.01005523818458146
2021/04,-0.04819922139364608
2021/05,-0.09349978380813882
2021/06,-0.09778131647283432
2021/07,-0.09004084030428318
2021/08,-0.08531837102844891
2021/09,-0.0966001702534077
2021/10,-0.1250091442090143
2021/11,-0.15163164988619626
2021/12,-0.1572052937057575
2022/01,-0.1340416512366198
2022/02,-0.13181136089920426
2022/03,-0.1738882683175331
2022/04,-0.18991752838619225
2022/05,-0.1613011396698267
2022/06,-0.1591698399746374
2022/07,-0.17694208426973687
2022/08,-0.1795682859111924
2022/09,-0.18533444403120047
2022/10,-0.1593245902886491
2022/11,-0.12255272335933523
2022/12,-0.12092245417981694
2023/01,-0.09101673197695247
2023/02,-0.06664686564811899
2023/03,0.027359804609651553
2023/04,0.05976544098304008
2023/05,0.05092791630679305
2023/06,0.04406084305496021
