Year/Month,EL
2021/01,-0.0630686886708296
2021/02,-0.0492277992277991
2021/03,-0.0141694853277264
2021/04,-0.0182013807944051
2021/05,0.0156719219219219
2021/06,0.0184950842013043
2021/07,0.0441176470588233
2021/08,0.1104657087536942
2021/09,0.11014948859166
2021/10,0.0525572195535462
2021/11,0.0267890248424174
2021/12,0.0458994583293737
2022/01,0.088450918785109
2022/02,0.1514536225196125
2022/03,0.1356639465875371
2022/04,0.1379908675799086
2022/05,0.1310172780190335
2022/06,0.113542960909873
2022/07,0.1328381246382404
2022/08,0.0764430577223089
2022/09,0.0842487597448617
2022/10,0.1309172259507829
2022/11,0.1259366254401011
2022/12,0.1316554606578228
2023/01,0.108817354793562
2023/02,0.0822378967617827
2023/03,0.0849187556136197
2023/04,0.0597062836048472
2023/05,0.095907197124418
2023/06,0.1466826881812719
