Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,3.694065988671473,2450.5,663.361187243245,0.0015074743883580792
2021/02,3.575155950353402,2450.5,685.4246455340696,0.0014589495818622328
2021/03,3.2907615200868627,2450.5,744.6604638598415,0.0013428939074012906
2021/04,2.835820665663155,2450.5,864.1237542526168,0.0011572416509541541
2021/05,2.8083306077715045,2450.5,872.5824492382491,0.001146023508578455
2021/06,3.227467297432478,2450.5,759.2640836204373,0.0013170648020536535
2021/07,3.3825232104696425,2450.5,724.4591825460861,0.001380340016514851
2021/08,3.430319925840475,2450.5,714.3648560416983,0.001399844899343185
2021/09,3.512957672666388,2450.5,697.560354645558,0.0014335677097189912
2021/10,3.516868285215076,2450.5,696.7846962884305,0.0014351635524240262
2021/11,3.536930666223072,2450.5,692.8323541656466,0.001443350608538287
2021/12,3.5452441907661085,2450.5,691.2076765776915,0.001446743191498106
2022/01,,2339.96,,
2022/02,,2339.96,,
2022/03,4.780495010918867,2339.96,489.4806907350443,0.0020429815086235948
2022/04,4.716170626512054,2339.96,496.15677321890456,0.0020154919855519125
2022/05,4.756958605078516,2339.96,491.90253568779536,0.0020329230435898547
2022/06,4.813179736951636,2339.96,486.15678779575,0.0020569495790319645
2022/07,4.70054084293711,2339.96,497.8065457118521,0.002008812476682127
2022/08,4.885106101445724,2339.96,478.9988080929296,0.002087687867077097
2022/09,5.275104633140971,2339.96,443.5855139818735,0.0022543567553039248
2022/10,5.989072789447973,2339.96,390.70488575839795,0.0025594765677396077
2022/11,6.891197253712278,2339.96,339.5578320936129,0.002945006433320346
2022/12,7.64426599536482,2339.96,306.1065642429056,0.0032668361832530555
2023/01,8.05320848306333,2547.79,316.3695569732544,0.0031608603860849324
2023/02,7.919325971415811,2547.79,321.71803625662704,0.003108311898318076
2023/03,8.888281194828352,2547.79,286.64597171863016,0.0034886239426437627
2023/04,9.275277297977928,2547.79,274.6861272336769,0.0036405187625267103
2023/05,8.808144225352112,2547.79,289.25389217251944,0.00345717042038477
2023/06,8.568572891774293,2547.79,297.3412296516543,0.0033631393842405745
