Year/Month,PL
2021/01,-0.0263374485596707
2021/02,-0.0255775577557756
2021/03,-0.0299352750809061
2021/04,-0.0130081300813007
2021/05,0.0182270091135046
2021/06,0.0314830157415078
2021/07,0.0415973377703826
2021/08,0.0495798319327731
2021/09,0.0385906040268455
2021/10,0.0389500423370026
2021/11,0.05366269165247
2021/12,0.0790378006872851
2022/01,0.0786136939983093
2022/02,0.0558848433530907
2022/03,0.1009174311926603
2022/04,0.1803953871499177
2022/05,0.1863303498779496
2022/06,0.1710843373493977
2022/07,0.1725239616613418
2022/08,0.1881505204163329
2022/09,0.2294022617124393
2022/10,0.254278728606357
2022/11,0.2554567502021019
2022/12,0.2412420382165605
2023/01,0.2288401253918497
2023/02,0.2622293504410586
2023/03,0.2204545454545454
2023/04,0.1409630146545708
2023/05,0.1337448559670782
2023/06,0.1337448559670782
