Year/Month,Fraud
2021/01,0.009668075181862768
2021/02,-0.07419245551007694
2021/03,-0.0760199172976845
2021/04,-0.01796752175984563
2021/05,-0.05006311714563005
2021/06,-0.04012561526654271
2021/07,-0.014869889360616256
2021/08,-0.04233972255595616
2021/09,-0.06748352942482197
2021/10,-0.047174877220457746
2021/11,0.010480838188974932
2021/12,0.013019551113108162
2022/01,4.4675615214817426e-05
2022/02,0.024224280625960416
2022/03,-0.025910631296456738
2022/04,-0.14344932210423533
2022/05,-0.17720411138912168
2022/06,-0.187688196386983
2022/07,-0.21396502495479208
2022/08,-0.16883805595827556
2022/09,-0.17018723487022488
2022/10,-0.15489283170944204
2022/11,-0.1897296974646999
2022/12,-0.2447264363938255
2023/01,-0.22691024088738038
2023/02,-0.2022078498552593
2023/03,-0.17044643660414216
2023/04,-0.15124154515199353
2023/05,-0.08342086415782687
2023/06,-0.11217236361467457
