Year/Month,ES
2021/01,0.0457988060233449
2021/02,0.0645965938413899
2021/03,0.0774856346857044
2021/04,0.015873015873016
2021/05,0.0061044176706828
2021/06,-0.0026012927636764
2021/07,0.019155817231943
2021/08,0.0393541876892027
2021/09,0.0192917988976115
2021/10,-0.013590203106332
2021/11,0.0509743920115959
2021/12,0.0776190073560498
2022/01,0.0759989775922296
2022/02,0.054859820635049
2022/03,0.0547834518422751
2022/04,0.0869932432432432
2022/05,0.0806322848475171
2022/06,0.1708685687188809
2022/07,0.1364524003254676
2022/08,0.1127022653721683
2022/09,0.1155264235968867
2022/10,0.1183951551854656
2022/11,0.0884223431154702
2022/12,0.0727344056492742
2023/01,0.0469554200649298
2023/02,0.0579044117647058
2023/03,0.0581430979010264
2023/04,0.0361305361305361
2023/05,0.0415189125295507
2023/06,-0.030239622004725
