Year/Month,Price
2021/01,1.3180574013118664
2021/02,1.2438066079543197
2021/03,1.1520678641824833
2021/04,1.0863571640211642
2021/05,1.3121637710240965
2021/06,1.2586500768458668
2021/07,1.1824264606709318
2021/08,1.0811012877435378
2021/09,1.0150332761688787
2021/10,1.0956264048187976
2021/11,1.1275013175747186
2021/12,1.0412908541895665
2022/01,1.2396706615723778
2022/02,1.1855147580189063
2022/03,1.3360834883397148
2022/04,1.2461418471283783
2022/05,1.2743396067379849
2022/06,1.312788533180537
2022/07,1.245749136377292
2022/08,1.402013533446602
2022/09,1.1075524813600985
2022/10,1.1186151994322484
2022/11,1.147913535624665
2022/12,1.0273375013678565
2023/01,1.2749009272204184
2023/02,1.3333675572916668
2023/03,1.3517471214187222
2023/04,1.2397121282051282
2023/05,1.5133638619281045
2023/06,1.204400810993925
