Year/Month,EL
2021/01,9.864851533980534e-05
2021/02,-0.0038583300356153
2021/03,-0.0083077836020176
2021/04,-0.0035774619894664
2021/05,0.0144667265289832
2021/06,0.0091333267149806
2021/07,0.0040674603174601
2021/08,0.0141111000695617
2021/09,0.013756927949327
2021/10,0.0299830660424345
2021/11,0.0406116572336412
2021/12,0.0458296053285613
2022/01,0.0340303807457091
2022/02,0.0423080742874169
2022/03,0.0630298194873841
2022/04,0.1429141318440212
2022/05,0.1383752950432728
2022/06,0.1478603049680276
2022/07,0.1663867206797746
2022/08,0.1700146986771191
2022/09,0.1742653519476715
2022/10,0.1718568665377176
2022/11,0.1657442748091604
2022/12,0.1758555133079848
2023/01,0.1936468568157969
2023/02,0.2004764173415911
2023/03,0.1987991368796322
2023/04,0.1168411867364747
2023/05,0.1181857451403889
2023/06,0.1130442235173123
