Year/Month,Price
2021/01,3.069865950703927
2021/02,2.9846399561591945
2021/03,2.91279016112579
2021/04,2.9063039077099986
2021/05,2.921008681974316
2021/06,2.77343005029948
2021/07,2.778014355886243
2021/08,3.2374112608069163
2021/09,3.238832621004058
2021/10,3.255241653053093
2021/11,3.2638334564591402
2021/12,3.1770854935878314
2022/01,3.1234489104976326
2022/02,3.1405393720826305
2022/03,3.078983192048137
2022/04,3.3823492250922516
2022/05,3.259484226556353
2022/06,3.3853832495818987
2022/07,3.4221277548537694
2022/08,3.2105203331700154
2022/09,3.1921818808552183
2022/10,3.440874685154739
2022/11,2.930207620403944
2022/12,3.435441053113118
2023/01,3.3645492555685395
2023/02,3.3967520744759403
2023/03,3.061575153704225
2023/04,3.601162406839005
2023/05,3.651401446090713
2023/06,3.7924664310935894
