Category 1,Category 2,Correlation
Bread and cereals,Meat,0.766102703262655
Bread and cereals,"Milk, cheese and eggs",0.7470195930676243
Meat,"Milk, cheese and eggs",-0.7994808982358077
Bread and cereals,Oils and fats,
Bread and cereals,Fruit,
Bread and cereals,Vegetables,
Meat,Oils and fats,
Meat,Fruit,
Meat,Vegetables,
"Milk, cheese and eggs",Oils and fats,
"Milk, cheese and eggs",Fruit,
"Milk, cheese and eggs",Vegetables,
Oils and fats,Fruit,
Oils and fats,Vegetables,
Fruit,Vegetables,
