Year/Month,AT
2021/01,0.0142988458788684
2021/02,0.0545691644096699
2021/03,0.036811043312994
2021/04,0.0303800040642145
2021/05,0.0261567422966411
2021/06,-0.0096023278370513
2021/07,-0.0091495714148126
2021/08,0.0061895551257253
2021/09,0.0052395922644565
2021/10,0.0028185440761978
2021/11,0.0019299430666794
2021/12,0.0167376160990713
2022/01,0.0232604974322827
2022/02,-0.0045657757062683
2022/03,0.0475639170284611
2022/04,0.0692239424119909
2022/05,0.0315728492806799
2022/06,0.0635589070610125
2022/07,0.0504471228615863
2022/08,0.0319108035371009
2022/09,0.038855193328279
2022/10,0.0641597208761386
2022/11,0.0552826736010787
2022/12,0.0432962222856598
2023/01,0.066325526471167
2023/02,0.0551361681796465
2023/03,0.0287345735862958
2023/04,0.0283131974545789
2023/05,0.0457693747660052
2023/06,0.0382136279926335
