Year/Month,AT
2021/01,-0.0239446612273855
2021/02,-0.0089546945651211
2021/03,-0.0058303886925794
2021/04,-0.0350982066609735
2021/05,0.0007079646017698
2021/06,-0.021878008226131
2021/07,-0.0164206480915363
2021/08,0.0023826332509708
2021/09,0.0060760831278618
2021/10,0.0200370729984993
2021/11,0.0598130841121495
2021/12,0.065469344421835
2022/01,0.0922224241322913
2022/02,0.1286455537663267
2022/03,0.1328416562999821
2022/04,0.1817859987609522
2022/05,0.2144499469402194
2022/06,0.2562404938713429
2022/07,0.2513986324482726
2022/08,0.3002905185315607
2022/09,0.297855579868709
2022/10,0.2971616476289374
2022/11,0.2663139329805997
2022/12,0.2851448974508013
2023/01,0.2751850927543466
2023/02,0.169546607482562
2023/03,0.1156169111302847
2023/04,0.0683741481315058
2023/05,0.0506080244666131
2023/06,0.0212947795741045
