Year/Month,Fraud
2021/01,-0.11443887433613736
2021/02,-0.09078184984299194
2021/03,-0.11469399365397653
2021/04,-0.11791569180036271
2021/05,-0.08045261783875705
2021/06,-0.13104114319190094
2021/07,-0.14203813336807125
2021/08,-0.1507006215478456
2021/09,-0.1617232903273106
2021/10,-0.12731092932594668
2021/11,-0.15178356463743134
2021/12,-0.12875788588938797
2022/01,-0.11724876807444828
2022/02,-0.11189490447954412
2022/03,-0.19090821472788588
2022/04,-0.1869938519151747
2022/05,-0.21100474845684486
2022/06,-0.26782912951987614
2022/07,-0.27407360138799103
2022/08,-0.2848289453788634
2022/09,-0.21533758411462772
2022/10,-0.18652625194707992
2022/11,-0.08959165481275881
2022/12,-0.03332824911966332
2023/01,0.024229960988898055
2023/02,0.07335558914536344
2023/03,0.25389441371858107
2023/04,0.47295937929058335
2023/05,0.435909040355406
2023/06,0.7739781329611363
