Year/Month,HR
2021/01,0.0044753853804078
2021/02,0.0151365255243371
2021/03,-0.0049000768639508
2021/04,-0.0135712252064155
2021/05,-0.0300206111658751
2021/06,-0.0387264108755924
2021/07,-0.0259987317691819
2021/08,0.0123525587443114
2021/09,0.0105302745393005
2021/10,0.020587374377988
2021/11,0.054169202678028
2021/12,0.0896929157798722
2022/01,0.1062376237623763
2022/02,0.0993080596433095
2022/03,0.0681664574683789
2022/04,0.0681162208966712
2022/05,0.0617147080561715
2022/06,0.0628954224041682
2022/07,0.0560825892857141
2022/08,0.0300917431192659
2022/09,0.0817826572385558
2022/10,0.1103250478011472
2022/11,0.1202848344880678
2022/12,0.0900297619047618
2023/01,0.0737492168620781
2023/02,0.0741134751773049
2023/03,0.1132604176082436
2023/04,0.1279048820032426
2023/05,0.1577619213365819
2023/06,0.1739320728291318
