Year/Month,Fraud
2021/01,0.1206426339778968
2021/02,-0.01511486717398423
2021/03,-0.09477624942130243
2021/04,-0.0820680376847525
2021/05,-0.13207088349657936
2021/06,-0.13927504884196393
2021/07,-0.12362446132492695
2021/08,-0.11223551202985786
2021/09,-0.08737582880440882
2021/10,-0.07160541246795435
2021/11,-0.07179874002471878
2021/12,-0.01811852999646129
2022/01,-0.122837505979501
2022/02,-0.08299780857338653
2022/03,0.049204282515620014
2022/04,-0.03676974170855593
2022/05,0.09144685038758617
2022/06,0.08289668567654182
2022/07,0.03021099083975004
2022/08,0.05658685847699506
2022/09,-0.01059854469939409
2022/10,-0.09798581603079422
2022/11,-0.11189290277452021
2022/12,-0.13953282500191608
2023/01,-0.14275613780610655
2023/02,-0.023480678085948437
2023/03,-0.10760261269525641
2023/04,-0.04798331283280268
2023/05,-0.1557795701206011
2023/06,-0.15740181943802967
