Year/Month,AT
2021/01,-0.0081982485559903
2021/02,0.0121701969528056
2021/03,0.0076123282584479
2021/04,0.0009220839096357
2021/05,0.0133258782965239
2021/06,0.0048134777376653
2021/07,0.0070168959468193
2021/08,0.0050841190608246
2021/09,0.0084407754382709
2021/10,0.0175454797303535
2021/11,0.0206470642455527
2021/12,0.0296793163649728
2022/01,0.0568288559083225
2022/02,0.0584671867829278
2022/03,0.071678643817947
2022/04,0.0822662367572548
2022/05,0.0869965054257864
2022/06,0.1122984799631505
2022/07,0.1121298248831026
2022/08,0.1279315736227351
2022/09,0.1329102281089036
2022/10,0.1442054632906797
2022/11,0.1530750474126252
2022/12,0.1605389969659112
2023/01,0.1731401653186384
2023/02,0.1612036073534513
2023/03,0.1518225584594221
2023/04,0.1533026898195437
2023/05,0.1462774957698815
2023/06,0.1323505052178235
