Year/Month,Price
2021/01,1.6929314879554953
2021/02,1.6735556052582683
2021/03,1.7554945858309905
2021/04,1.5571178706316273
2021/05,1.5669613358680456
2021/06,1.5608138525872441
2021/07,1.526996699696858
2021/08,1.7082192338117028
2021/09,1.6651300691958073
2021/10,1.7222402783992716
2021/11,1.6249045093268968
2021/12,1.85316534962786
2022/01,1.8460745461284365
2022/02,1.8892904531436439
2022/03,2.067803943246729
2022/04,2.029415321787195
2022/05,2.220725617528049
2022/06,2.5481499424842617
2022/07,2.487194943614193
2022/08,2.5554064850547222
2022/09,2.4656270182809052
2022/10,2.826408816356164
2022/11,3.013861820283572
2022/12,3.1508484831786547
2023/01,3.097179683902172
2023/02,3.4941455929587235
2023/03,4.080111250687757
2023/04,4.2412642162678145
2023/05,3.855026741398759
2023/06,4.005128185475284
